Name	Actor	Genre	Directors	Maturity	Story-line	Popularity	Distributed_by	Production_Company,Name,Production_Company,Distributed_by,Popularity,Story-line,Actor,Maturity,Genre,Directors
80200047,The Boy Who Harnessed the Wind,,,,A boy with a curious mind finds a way to save his Malawian village from famine. A drama based on the remarkable true story of William Kamkwamba.,,,Dramas,
80993105,Mowgli: Legend of the Jungle,Warner Bros. Pictures[1]The Imaginarium,Netflix,"Andy Serkis directs a star-studded cast in this dark retelling of Rudyard Kipling's ""The Jungle Book.""",An orphaned boy raised by animals in the jungle seizes his destiny while confronting a dangerous enemy -- and his own human origins.,"Rohan Chand, Andy Serkis, Cate Blanchett",13+ ,"British Films, Action & Adventure, Adventures, Children & Family Films, Films based on children's books, Dramas, Dramas based on a book, Sci-Fi & Fantasy, Blockbuster Sci-Fi & Fantasy, Action Sci-Fi & Fantasy, Fantasy",Andy Serkis
80244953,Jupiter's Legacy,,,,"When a superhero seizes control of the government, the next generation of heroes must join the new regime or fight back. Based on Mark Millar's comics.",,,"Series, American Programmes, Sci-Fi & Fantasy Programmes",
81023011,Instant Hotel,Seven Network,,,Teams of Australian homeowners compete for the title of best Instant Hotel by staying overnight in each other's rentals and rating their experience.,"Luke Jacobz, Juliet Ashworth",13+ ,"Series, Australian TV Programmes, Reality, Variety & Talk Shows, Food & Travel TV",
80200549,The Central Park Five,Sundance SelectsWETAFlorentine FilmsPBSThe Central Park Five Film Project,Sundance Selects,,"Created, written and directed by Ava DuVernay, this series exposes the breakdown of the U.S. criminal justice system during the Central Park Five case.",,,"Series, Documentary Programmes, American Programmes, Documentaries",
80049832,Our Planet,Netflix,,,"From the creator of ""Planet Earth,"" this series takes viewers on an unprecedented journey through some of the world's most precious natural habitats.",David Attenborough,7+ ,"Series, Documentary Programmes, American Programmes, Documentaries, Science & Nature Documentaries",
80117557,Messiah,,,,"When a man in the Middle East appears to be performing miracles, a rift breaks out over whether he's the Messiah or a fraud in this suspenseful drama.",,,"Series, American Programmes, Drama Programmes",
80210995,Back with the Ex,Seven Network,,,"In a series of emotional reunions, four singles reconnect with their exes and attempt to reignite their romantic pasts.",,13+ ,"Series, Australian TV Programmes, Reality, Variety & Talk Shows, Romance Programmes",
80205626,Hit and Run,,,,"In this political espionage thriller series, a man's life is turned upside down when his wife is killed in a mysterious hit-and-run accident.",,,"Series, American Programmes, Drama Programmes",
80179784,3Below: Tales of Arcadia,,,"Creator Guillermo del Toro gathers an all-star voice cast for this epic sci-fi expansion of the ""Trollhunters"" universe.","After crash-landing in Arcadia, two royal teen aliens struggle to blend in as they evade intergalactic bounty hunters. Created by Guillermo del Toro.",,7+ ,"Animation, Series, Kids’ Programmes, Action & Adventure Programmes, Sci-Fi & Fantasy Programmes, TV Cartoons",
80230293,Wu Assassins,Netflix,,,"The last in a line of Chosen Ones, a wannabe chef teams up with a homicide detective to unravel an ancient mystery and take down supernatural assassins.",,,"Series, American Programmes, Drama Programmes",
80211621,Huge In France,,,,Famous comedian Gad Elmaleh moves to LA to reconnect with his son and must learn to live without the celebrity perks he's accustomed to in France.,,,"Series, American Programmes, Comedy Programmes",
80999067,Super Monsters and the Wish Star,,,,"Christmas wishes come true for Lobo, whose favorite cousin arrives for a surprise visit, and for Glorb, who wishes he could be everywhere at once!","Elyse Maloway, Vincent Tong, Erin Mathews",All ,"Animation, Kids' Music, Children & Family Films, Little Kids",
80210736,Standup and Away! with Brian Regan,,,,Brian Regan blends live stand-up with sketches and audience interaction in this hybrid comedy series produced by Jerry Seinfeld.,,13+ ,"Series, American Programmes, Comedy Programmes, Stand-up & Chat Shows, Stand-up Comedy",
80210361,Chambers,,,,"Consumed by the mystery surrounding the donor heart that saved her life, a young patient starts taking on sinister characteristics of the deceased.",,,"Series, American Programmes",
80180171,Kingdom,,,,The deceased king rises and a mysterious plague begins to spread. The prince must face a new breed of enemies to unveil the evil and save his people.,,16+ ,"Period Pieces, Series, K-dramas, Korean Web Dramas, Asian Programmes, Action & Adventure Programmes, Drama Programmes",
80999729,The Last Summer,,,,"The summer after they graduate from high school, a group of teens navigate friendship, romance and family relationships before heading off to college.",,,Dramas,
81039222,Hotel Mumbai,"
Thunder Road Pictures
Arclight Films
Electric Pictures
Xeitgeist Entertainment Group
","
Bleecker Street
ShivHans Pictures
",,Dev Patel and Armie Hammer star in this harrowing true story of the victims and survivors of the 2008 Mumbai attacks.,,,"International Films, Dramas",
80217475,Murder Mountain,,,,"In Humboldt County, California, the big business of legal marijuana brings in visitors from around the world. Some are never seen again.",,16+ ,"Series, Documentary Programmes, American Programmes, Crime Programmes, Crime Documentaries, Documentaries, True Crime Documentaries",
81007175,Wolf,,,,"Tasked with risky operations across Turkey, members of a special-operations police unit confront danger and tragedy both on the field and at home.","Ahu Türkpençe, Serkan Çayoğlu, Murat Arkin",16+ ,"Series, Turkish Programmes, Action & Adventure Programmes, Drama Programmes",
80208298,Most Beautiful Thing,,,,"After her husband disappears, meek Maria Luiza turns his property into a bossa nova club and begins to come into her own as an independent woman.",,,"Series, Brazilian TV Programmes, Drama Programmes",
80207033,Cowboy Bebop,,,,A ragtag crew of bounty hunters chases down the galaxy's most dangerous criminals. They'll save the world ... for the right price.,,,"Series, American Programmes, Crime Programmes, Action & Adventure Programmes, Sci-Fi & Fantasy Programmes",
80194558,Selection Day,,,,"When a 14-year-old boy tries out for Mumbai's under-19 cricket team and meets his older brother's rival, everything in his world begins to change.","Mohammad Samad, Yash Shashank Dholye, Rajesh Tailang",13+ ,"Series, TV Programmes based on Books, Hindi-Language TV Programmes, Indian Programmes, Teen Programmes, Drama Programmes",
80197526,Sex Education,,,,Inexperienced Otis channels his sex therapist mom when he teams up with rebellious Maeve to set up an underground sex therapy clinic at school.,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa",16+ ,"Series, American Programmes, Teen Programmes, Drama Programmes, Comedy Programmes",
80991142,Raise the Bar,,,,"In this animated series, a high school girl attempts to overcome the odds and become a champion weightlifter in the Olympics.",,,"Series, American Programmes, Teen Programmes, Drama Programmes",
80209013,Mr. Iglesias,Netflix,,,Stand-up phenom Gabriel Iglesias stars in this series as a good-natured high school history teacher who tries to help gifted misfit kids.,,,"Series, American Programmes, Comedy Programmes",
80200642,Isn't It Romantic,,,,An architect who's skeptical of all things romantic suddenly wakes up in a rom-com world where everything's eerily perfect. Starring Rebel Wilson.,"Rebel Wilson, Liam Hemsworth, Adam DeVine",13+ ,"Hollywood Films, Comedies, Romantic Comedies, Spoofs & Satires, Romantic Films, Romantic Favourites",Todd Strauss-Schulson
81001412,Free Rein: The Twelve Neighs of Christmas,,,,"As Bright Fields preps for its Mistletoe Ball, a broken ornament leads Zoe to a family secret, while Gaby finds herself at the mercy of new boss Mia.","Jaylen Barron, Billy Angel, Manpreet Bambra",7+ ,"Series, British Programmes, Kids’ Programmes, Drama Programmes, Animal Tales",Marek Losey
80202258,Northern Rescue,CBCNetflix,,,"After his wife's death, John West uproots his kids from the city and moves them to a remote coastal community to operate a Search and Rescue service.",,,"Series, American Programmes, Drama Programmes",
