,Name,Actor,Genre,Directors,Maturity,Story-line,Popularity
80217669,Top Boy,,"Series, British Programmes, Drama Programmes",,,"After being forced to flee his East London housing estate, a former kingpin returns home to take back his throne.",
80119426,Dirk Gently's Holistic Detective Agency,"Samuel Barnett, Elijah Wood, Hannah Marks","Series, TV Programmes based on Books, American Programmes, Crime Programmes, Action & Adventure Programmes, Mystery Programmes, Sci-Fi & Fantasy Programmes, Comedy Programmes",,16+ ,"Eccentric amateur sleuth Dirk and his grudging assistant Todd make their way haphazardly through tangled, dangerous supernatural mysteries.","This comic sci-fi series is based on the novels by Douglas Adams (""The Hitchhiker's Guide to the Galaxy"")."
80095697,Disenchantment,"Abbi Jacobson, Eric André, Nat Faxon","Animation, Adult Animation, Series, American Programmes, Action & Adventure Programmes, Sci-Fi & Fantasy Programmes, Comedy Programmes",,13+ ,"Princess duties call, but she'd rather be drinking. Free-spirited Bean exasperates the king as she wreaks havoc with her demon and elf pals.","Matt Groening's animated fantasy series features a stellar vocal cast, including Abbi Jacobson, Nat Faxon and Eric Andre."
70305883,Marco Polo,"Lorenzo Richelmy, Benedict Wong, Chin Han","Period Pieces, Series, American Programmes, Action & Adventure Programmes, Drama Programmes",,16+ ,"Set in a world of greed, betrayal, sexual intrigue and rivalry, “Marco Polo” is based on the famed explorer’s adventures in Kublai Khan’s court.","Series creator John Fusco also wrote the films ""Young Guns,"" ""Thunderheart"" and ""Hidalgo."""
80074220,3%,"João Miguel, Bianca Comparato, Michel Gomes","Series, Brazilian TV Programmes, Teen Programmes, Drama Programmes, Sci-Fi & Fantasy Programmes",,16+ ,"In a future where the elite inhabit an island paradise far from the crowded slums, you get one chance to join the 3% saved from squalor.","Director César Charlone was nominated for an Oscar in cinematography for the acclaimed Brazilian film ""City of God."""
80002311,Marvel's Jessica Jones,"Krysten Ritter, David Tennant, Rachael Taylor","Series, Award-winning TV Programmes, TV Programmes based on Comics, American Programmes, Crime Programmes, Action & Adventure Programmes, Drama Programmes",,16+ ,"Haunted by a traumatic past, Jessica Jones uses her gifts as a private eye to find her tormentor before he can harm anyone else in Hell's Kitchen.",This Emmy-winning superhero saga received a 2015 Peabody Award for its vivid characters and complex themes.
80217569,TAU,"Maika Monroe, Ed Skrein, Gary Oldman","Hollywood Films, Thrillers, Psychological Thrillers, Sci-Fi Thrillers, Sci-Fi & Fantasy, Cyberpunk",Federico D'Alessandro,16+ ,"Kidnapped by an inventor who uses her as a test subject to perfect his robotic AI, a street-smart young woman tries to escape her high-tech prison.",
80217957,Reboot: The Guardian Code,"Ty Wood, Ajay Friese, Gabriel Darku","Animation, Series, Canadian TV Programmes, Kids’ Programmes, TV Cartoons",,7+ ,Four tech-savvy teens hone their skills as cyber-superheroes in a series of secret missions to save the world.,Live action and animation combine in this reimagining of the Gemini Award-winning series that aired from 1994-2002.
80130521,The Worst Witch,"Bella Ramsey, Clare Higgins, Meibh Campbell","Series, TV Programmes based on Books, British Programmes, Kids’ Programmes",,7+ ,"After stumbling into a school for witches, a bumbling heroine comes to realize that she just might belong there. Based on Jill Murphy's beloved books.",
80075820,Trollhunters: Tales of Arcadia,"Kelsey Grammer, Emile Hirsch, Charlie Saxton","Animation, Series, TV Programmes based on Books, Kids’ Programmes, Action & Adventure Programmes, Sci-Fi & Fantasy Programmes, TV Cartoons",,7+ ,"After uncovering a mysterious amulet, an average teen assumes an unlikely destiny and sets out to save two worlds. Created by Guillermo del Toro.","Guillermo del Toro's fantastical series won multiple Emmys, including an Outstanding Performer award for Kelsey Grammer."
