Unnamed: 0,Name,Actor,Genre,Directors,Maturity,Story-line,Popularity,tconst,averageRating,imdb_rank,page_rank,page_rank_int
80245299,Ponysitters Club,"Morgan Neundorf, Madeline Leon, Khiyla Aynne","Series, Canadian TV Programmes, TV Programmes based on Books, Kids’ Programmes, Drama Programmes, Animal Tales",,7+ ,A young horse enthusiast teams up with her best friends to rescue and rehabilitate animals on her family's beloved ranch.,,tt7707640,6.8,429.0,0.0004632560973062003,252.0
80134695,Free Rein,"Jaylen Barron, Manpreet Bambra, Celine Buckens","Series, British Programmes, Kids’ Programmes, Drama Programmes, Animal Tales",,7+ ,"A 15-year-old from LA spends the summer at her mom's childhood home on an island off the coast of England, where she bonds with a mysterious horse.","Won two 2018 Daytime Emmy Awards, including Outstanding Children's or Family Viewing Series.",tt6928052,7.6,224.0,0.0004994147444880769,245.0
70300626,Ever After High,"Jonquil Goode, Karen Strassman, Audu Paden","Animation, Series, Kids’ Programmes, TV Cartoons",,All ,The kids of fairy-tale characters attend a school with two cliques: those who accept their fairy-tale destinies and those who want to write their own.,,tt3312378,7.9,157.5,0.00023529241918430628,307.0
80174285,Alexa & Katie,"Paris Berelc, Isabel May, Tiffani Thiessen","Series, Kids’ Programmes, Comedy Programmes",,7+ ,"Alexa is battling cancer. But with her best friend, Katie, by her side, she's also starting high school -- and ready for whatever comes next.",This groundbreaking series was nominated for an Emmy for Outstanding Children's Program.,tt6916746,7.2,327.0,0.00039260984632200123,270.0
80147919,The Hollow,"Adrian Petriw, Ashleigh Ball, Connor Parnall","Animation, Series, Canadian TV Programmes, Kids’ Programmes, TV Cartoons",,7+ ,"Three teens join forces to find a way home after waking up in a strange realm filled with magic portals, perplexing puzzles and vicious beasts.",This animated adventure features character design by Oscar nominee and Annie Award winner Robert Valley.,tt6193336,7.3,298.5,0.0007719124783760199,233.0
80115341,Spy Kids: Mission Critical,"Ashley Bornancin, Carter Hastings, Caitlyn Bairstow","Animation, Series, Kids’ Programmes, TV Cartoons",,7+ ,"In this animated spinoff series, Juni and Carmen Cortez must battle the evil organization S.W.A.M.P. -- without the help of their super-spy parents.",,tt6714408,5.1,686.5,0.0005143650470272649,240.0
80115346,Hilda,"Bella Ramsey, Ameerah Falzon-Ojo, Oliver Nelson","Animation, Series, TV Programmes based on Comics, Kids’ Programmes, TV Cartoons",,7+ ,"Fearless, free-spirited Hilda finds new friends, adventure and magical creatures when she leaves her enchanted forest home and journeys to the city.","Bella Ramsey (""The Worst Witch"") is the voice of Hilda in this animated series based on Luke Pearson's acclaimed comics.",tt6768504,8.9,21.5,0.003204181798646304,49.0
80003196,Wakfu,"Fanny Bloc, Jules De Jongh, Patrick Béthune","Animation, Series, Kids’ Programmes, TV Cartoons",,13+ ,"Yugo, a 12-year-old Eliatrope with special powers, sets out on a mission to find his true family and uncover the mysteries of Wakfu.",,tt3612618,7.6,224.0,0.000181610118003281,348.0
80245121,White Fang,"Nick Offerman, Rashida Jones, Paul Giamatti","Hollywood Films, Animation, Children & Family Films, Animal Tales, Dramas, Dramas based on a book",Alexandre Espigares,7+ ,A loyal wolfdog's curiosity leads him on the adventure of a lifetime while serving a series of three distinctly different masters.,"Nick Offerman, Rashida Jones and Paul Giamatti lend their voices to this animated update of Jack London's classic novel.",tt5733348,8.9,21.5,0.00038722179600810664,271.0
80057610,Kulipari: An Army of Frogs,"Mark Hamill, Keith David, Wendie Malick","Animation, Series, TV Programmes based on Books, Kids’ Programmes, Talking-Animal Kids' TV, TV Cartoons",,7+ ,"In a tale of bravery and heroism, fearless frogs go to war against the sinister scorpions and spiders that have teamed up to conquer the amphibians.",,tt6035850,7.0,388.0,0.00042730093309547267,261.0
