,Unnamed: 0,Key,Name,Actor,Genre,Directors,Maturity,Story-line,Popularity,Production,Distributed_by,imdb,Time
0HKBAUBOLTFVGSD0TV6LMLZHY9,,,Bajrangi Bhaijaan,"Salman Khan, Kareena Kapoor, Nawazuddin Siddiqui",International,Kabir Khan, 13+ Teens,,,,,8.0,158.0
0PHXMBR0NM48WQBNOQPF9T500H,,,HICHKI,"Rani Mukerji, Neeraj Kabi, Shiv Subrahmanyam","International, Drama",Siddharth P Malhotra, All Ages Kids,,,,,,
0QX1A99V40EGILD1J4VMOTQ2VI,,,Lakshya,"Hrithik Roshan, Amitabh Bachchan, Preity Zinta","Drama, International",Farhan Akthar, 13+ Teens,,,Excel Entertainment,,7.9,177.0
0FBAX4LZLS64KNXL5RVDRPM9TX,,,Dhoom,"Abhishek Bachchan, Uday Chopra, Aishwarya Rai Bachchan","International, Action",Sanjay Gadhvi, 13+ Teens,,,Yash Raj Films Pvt. Ltd.,,6.5,151.0
0PDMBKX6OQ400P4JRJYUARIBWU,,,Patiala House,"Akshay Kumar, Anushka Sharma, Rishi Kapoor","International, Sports, Drama",Nikhil Advani, All Ages Kids,,,,,5.9,140.0
0P53I0VNZ3ZG8GY68CGHDNVSO7,,,Kabhi Alvida Naa Kehna,"Shah Rukh Khan, Rani Mukerji, Preity Zinta","International, Drama, Romance",Karan Johar, 13+ Teens,,,,,6.1,191.0
0TN2S73ZQMWNYE8LHUCGQKWPYY,,,Fan,"Shah Rukh Khan, Sayani Gupta, Shriya Pilgaonkar","Drama, Suspense, International",Maneesh Sharma, 13+ Teens,,,,,7.2,138.0
0G0VN7VDPSAA2IZMRZZNASASP4,,,Mohabbatein,"Shahrukh Khan, Amitabh Bachchan, Aishwarya Rai Bachchan","Romance, Drama, International",Aditya Chopra, 7+ Older Kids,,,Yash Raj Films Pvt. Ltd.,,7.1,215.0
0QBQ0ZOK7NULHKFXSRDWD3GHHU,,,Fanaa,"Aamir Khan, Kajol, Rishi Kapoor","Romance, International, Drama",Kunal Kohli, 13+ Teens,,,Yash Raj Films Pvt. Ltd.,,7.2,168.0
0LY09PT692JD725MYR0KAI4E3U,,,Dhoom,"John Abraham, Abhishek Bachchan, Uday Chopra","International, Action",Sanjay Gadhvi, 13+ Teens,,,Yash Raj Films Pvt. Ltd.,,6.7,129.0
0Q7GKD9PALIC1VZ3JGXCL2HPVG,,,Don,"Shah Rukh Khan, Priyanka Chopra, Isha Koppikar","Action, International",Farhan Akhtar, 13+ Teens,,,,,7.2,168.0
0S7X6OX9RBIK9B5ZUQFCURE7KZ,,,Ready,"Salman Khan, Asin, Paresh Rawal","International, Drama, Comedy",Anees Bazmee, 13+ Teens,,,,,4.7,144.0
0R5KYU5DNAYN9T7A9APLQO76VH,,,Jai Ho,"Salman Khan, Tabu, Daisy Shah","International, Action, Drama",Sohail Khan, 13+ Teens,,,,,5.3,134.0
0GYZ99WQGEB9HOON2UWNXJ5WRJ,,,Thoda Pyaar Thoda Magic,"Saif Ali Khan, Rani Mukerji, Rishi Kapoor","International, Drama",Kunal Kohli, 7+ Older Kids,,,Yash Raj Films Pvt. Ltd.,,4.9,136.0
0NLOLV3XZAJH27QSWHEZIG9S84,,,New York,"John Abraham, Katrina Kaif, Neil Nitin Mukesh","Suspense, International",Kabir Khan, 13+ Teens,,,,,6.8,151.0
0RQVG8DVFPDDTM5X5EMG8BBDE0,,,Dil Bole Hadippa,"Shahid Kapoor, Rani Mukerji, Anupam Kher","Sports, International, Drama, Comedy",Anurag Singh, 13+ Teens,,,,,4.6,146.0
