,Unnamed: 0,Key,Name,Actor,Genre,Directors,Maturity,Story-line,Popularity,Production,Distributed_by,imdb,Time
0NLOOW3L78YHL0UQHPQXECHU1D,,,Youngistaan,"Jackky Bhagnani, Neha Sharma, Farooq Shaikh","International, Drama",Syed Ahmad Afzal, 13+ Teens,,,,,5.2,124.0
0LL7X538M4VNR0YB0WIMUR46UI,,,Jannat,"Emraan Hashmi, Sonal Chauhan, Javed Sheikh","International, Romance, Drama",Kunal Deshmukh, 13+ Teens,,,,,6.9,140.0
0U8DYGBK74PPNQPLP00J0XR8NX,,,Kill Dil,"Ranveer Singh, Ali Zafar, Parineeti Chopra",International,Shaad Ali, 13+ Teens,,,,,4.4,117.0
0OSB4TRGOLZ7CYXUB77CXSSB8Z,,,Tashan,"Akshay Kumar, Saif Ali Khan, Kareena Kapoor",International,Vijay Krishna Acharya, 16+ Young Adults,,,,,3.9,147.0
0NU7IFXPL2WWSDHNGAR5Z1GUJE,,,Agneepath (2012),"Hrithik Roshan, Priyanka Chopra, Chetan Pandit","International, Drama",Karan Malhotra, 13+ Teens,,,Dharma Productions,,7.0,173.0
0FO3F4BPDVC10PFKB2JJ5UMV0P,,,Heropanti,"Tiger Shroff, Kriti Sanon, Sandeepa Dhar","Romance, Drama, International",Sabir Khan, 13+ Teens,,,,,5.3,137.0
0P554V24VLXAJC5C495OPBOCNZ,,,Kidnap,"Sanjay Dutt, Imran Khan, Minissha Lamba","Suspense, Action",Sanjay Gadhvi, 13+ Teens,,,Shemaroo Entertainment Ltd,,,
0GUQGTXEZI7C13VHFGA0IN3TUE,,,Deewana Main Deewana,"Govinda, Priyanka Chopra, Kader Khan","International, Comedy, Drama",K.C. Bokadia, 13+ Teens,,,,,2.8,112.0
0K62H9C90O5Z9ZZ8LVTOBDUI4F,,,Kaal,"John Abraham, Vivek Oberoi, Esha Deol","Suspense, International",Soham Shah, 13+ Teens,,,,,4.6,125.0
0L46VQ9C2AMHN26ODUJNEUFMXI,,,Freaky Ali,"Nawazuddin Siddiqui, Arbaaz Khan, Amy Jackson","Sports, International",Sohail Khan, 13+ Teens,,,,,5.0,119.0
0N4MPYB5ZMT5FTXJWWKQU4KRDZ,,,Bhool Bhulaiyaa,"Akshay Kumar, Ameesha Patel, Vidya Balan","International, Drama, Suspense",Priyadarshan, 13+ Teens,,,,,7.3,148.0
0MW3TD0Y892GDYVTRUIO7Q3LD3,,,Jeena Marna Tere Sang,"Sanjay Dutt, Raveena Tandon, Javed Jaffrey","Romance, International, Drama",Vijay Reddy, 13+ Teens,,,,,5.3,150.0
0GUQL2C5Y6YMTAIXKYOXPUAAZB,,,Hero,"Sooraj Pancholi, Athiya Shetty, Tigmanshu Dhulia","Romance, International",Nikhil Advani, 13+ Teens,,,,,3.7,123.0
0LY0HII4DXZ3D2ZQCQZIJ8THU5,,,Jeet,"Sunny Deol, Salman Khan, Karisma Kapoor","Drama, International",Raj Kanwar, 13+ Teens,,,,,5.7,158.0
0SXJAUSIMZJRR8R8D8P1XNKQX3,,,Knight and Day,"Tom Cruise, Peter Sarsgaard, Viola Davis",Action,James Mangold, 13+ Teens,,,,,,
0GUQV9NECA6CTR6IP69707GR3F,,,Men in Black 3,"Will Smith, Tommy Lee Jones, Josh Brolin","Comedy, Science Fiction",Barry Sonnenfeld, 13+ Teens,,,Columbia Pictures,,6.8,105.0
0KEMAYXUJ049KXA1NE4VF4F4IM,,,Battle,"Aaron Eckhart, Michelle Rodriguez, Ramon Rodriguez","Action, Science Fiction",Jonathan Liebesman, 13+ Teens,,,Original Film,,5.8,116.0
0RV4WMF7HQOWC3KDNQCKV0WQT6,,,Pyaar Impossible,"Uday Chopra, Priyanka Chopra, Dino Morea","Romance, International, Comedy",Jugal Hansraj, 7+ Older Kids,,,,,4.7,140.0
0G0WAVNN6RZ23PBZ95O9F6VVVF,,,Yun Hota Toh Kya Hota What If,"Paresh Rawal, Konkona Sen Sharma, Jimmy Shergill","Drama, International",Naseeruddin Shah, 13+ Teens,,,,,,
0RE55YB47BVP6XAUM3ALPEJU5W,,,Union Leader,"Rahul Bhat, Tillotama Shome, Jayesh More",Drama,Sanjay Patel, 13+ Teens,,,Shemaroo Entertainment Ltd,,,
0F733JDLQPYAYQCE9SJVOBX33L,,,Barah Aana,"Naseeruddin Shah, Vijay Raaz, Arjun Mathur","Comedy, International",Raja Krishna Menon, 13+ Teens,,,Shemaroo Entertainment Ltd,,,
0MW5J8H10WUV580WDSDVROJ7NE,,,Sharafat Gayi Tel Ne,"Zayed Khan, Rannvijay Singh, Tena Desae","Comedy, International",Gurmmeet Singh, 13+ Teens,,,Shemaroo Entertainment Ltd,,,
0HSUGXDHWXCP3QHZEO8DGVCINA,,,Daddy,,"International, Drama",, 18+ Adults,,,,,6.4,133.0
0PQGECFM3NZI19EBNCT9X2EXJN,,,Bhindi Baazaar Inc.,"Kay Kay Menon, Jackie Shroff, Pavan Malhotra","Drama, International",Ankush Bhatt, 18+ Adults,,,Shemaroo Entertainment Ltd,,,
0P0U1F2XL44I3QYECQ1INZGAYS,,,Titli,"Ranvir Shorey, Shashank Arora, Lalit Behl",International,Kanu Behl, 18+ Adults,,,,,7.6,111.0
0L47RQRGHAUAI444CJ2D579667,,,Jail,"Neil Nitin Mukesh, Manoj Bajpai, Arya Babbar",Drama,Madhur Bhandarkar, 13+ Teens,,,Shemaroo Entertainment Ltd,,,
0SKQ9U7SAYH8AIU1PZ9LK4KFC2,,,Mrs. Scooter,"Sandeep Sahota, Satyakam Anand, Himanshu Kohli","International, Drama",Shiladitya Moulik, 13+ Teens,,,,,6.6,95.0
0SKRBDW5WEBR9BQ1VSTA2Q3382,,,Dehraadun Diary,"Adhyayan Suman, Ragini Nandwani, Rati Agnihotri",Suspense,Milind Ukey, 13+ Teens,,,Shemaroo Entertainment Ltd,,,
0OO1RK2VPDXU2I31GV1VKSS2MS,,,Rangrezz,"Jackky Bhagnani, Priya Anand, Amitosh Nagpal",International,Priyadarshan, 13+ Teens,,,,,5.2,131.0
0IV6QKIEM4UPAFAV3J0WG8WBRE,,,Shor Se Shuruaat,"Atul Kulkarni, Sakshi Tanwar, Siddharth Menon",International,"Rahul V. Chittella, Amira Bhargava, Annie Zaidi, Pratik Rajen Kothari, Supriya Sharma, Arunima Sharma, Satish Raj Kasireddi", 13+ Teens,,,,,6.7,122.0
0HBS4LJQ9LI9J1WQJ1WBD9JF31,,,Leeches,,"Drama, International",, 18+ Adults,,,,,7.4,27.0
0FWM3VR0KNN2M1VY1YSWC005RO,,,Love Games,"Umar Sharif, Bhushan, Tara-Alisha Berry","International, Suspense",, 16+ Young Adults,,,,,4.4,108.0
0FBBRHQ94RLATAQ62QEUXDSNGJ,,,Bombay Summer,"Tannishtha Chatterjee, Samrat Chakrabarti, Jatin Goswami",International,Joseph Mathew, 18+ Adults,,,,,6.5,102.0
0OFIS91BQ75YBRTW0QBLVJI2II,,,Inteha,"Ashmit Patel, Vidya Malvade, Avtar Gill","Suspense, Drama, International",Vikram Bhatt, 18+ Adults,,,One Entertainment,,5.4,150.0
0M2AKDLS7YS5DRW7GPCH9CYTUO,,,Kshay,"Rasika Dugal, Alekh Sangal, Sudhir Pednekar","International, Drama",Karan Gour, 18+ Adults,,,,,6.9,92.0
0SOYZZO6RT3OY6E333G1I9NPWG,,,Darling,"Fardeen Khan, Esha Deol, Isha Koppikar","Horror, International",Ram Gopal Varma, 18+ Adults,,,,,3.9,126.0
0PDMM1E4RT8ODVEZDOF4K8J32N,,,Wajah Tum Ho,"Sana Khaan, Sharman Joshi, Zarine Khan","International, Suspense",Vishal Pandya, 18+ Adults,,,,,4.4,130.0
0KVNAIU6H4HLJQ90SWNFY8BW14,,,Mashooka,"Aditya Bal, Meghna Naidu, Vidya Malvade","International, Drama",Afzal Ahmad, 18+ Adults,,,,,5.4,102.0
0MNKZHT8PXP5JRS3P5I8Y28ZTV,,,Laaga Chunari Mein Daag,"Rani Mukerji, Konkona Sen Sharma, Kunal Kapoor","Drama, International",Pradeep Sarkar, 13+ Teens,,,,,5.4,139.0
0QFZGYLAAWUINY596ROHH4LQX7,,,Karthik Calling Karthik,"Farhan Akhtar, Deepika Padukone, Shefali Shetty","Suspense, International",Vijay Lalwani, 13+ Teens,,,Excel Entertainment Pvt Ltd,,7.0,134.0
0P53N5FD7IMTP1MASI9NTYEX4D,,,Krantikari,"Mithun Chakraborty, Mamta Kulkarni, Rajinikanth","Drama, International",Raghuram, 13+ Teens,,,,,6.4,140.0
0NQ09X3POQDFGWY3JVA89C6W0W,,,Mr. Kabaadi,"Om Puri, Annu Kapoor, Vinay Pathak","Comedy, International",Seema Kapoor, 13+ Teens,,,Ultra Media & Entertainment Pvt. Ltd.,,,
0SGI9GW20UZJCANPKQBTURRCWX,,,Shaadi Teri Bajayenge Hum Band,"Rahul Bagga, Radha Bhatt, Shrashti Maheshwari",Comedy,Gurpreet Sondh, 13+ Teens,,,Shemaroo Entertainment Ltd,,,
0QG144BWLDXM6WHRRK6L6A5A2G,,,Gali Gali Chor Hai,"Akshay Khanna, Shriya Saran, Mugdha Godse","Comedy, Drama",Rumi Jafrey, 13+ Teens,,,Shemaroo Entertainment Ltd,,,
0IIG3ZC23VU049JJE85WNPFI7X,,,Amit Sahni Ki List,"Vir Das, Vega Tamotia, Kavi Shastri",Comedy,Ajay Bhuyan, 13+ Teens,,,Shemaroo Entertainment Ltd,,,
0N8XW4HI8KJTHBYGPXN1YPQHDI,,,Love Shagun,"Anuj Sachdeva, Nidhi Subbaiah, Shamin Mannan",Comedy,Saandesh B. Nayak, 13+ Teens,,,Shemaroo Entertainment Ltd,,,
0RE33R0V4G46G2OAQ7PL1CFB8N,,,Bahaar Aane Tak,"Sumeet Saigal, Roopa Ganguly, Navin Nischol","Drama, International",Tariq Shah, 13+ Teens,,,,,4.6,145.0
0M2BCD5OS2FKOPSO2OC4978ZQR,,,Traffic Signal,"Kunal Khemu, Neetu Chandra, Konkona Sen Sharma",Drama,Madhur Bhandarkar, 13+ Teens,,,Shemaroo Entertainment Ltd,,,
0P53HLN38V51X00JAWEFJKV6XO,,,Aashayein,"John Abraham, Anaitha Nair, Girish Karnad",International,Nagesh Kukunoor, 13+ Teens,,,,,7.1,115.0
0LTQTEOOX8JOC11L9UGH025OXE,,,Game,"Abhishek Bachchan, Kangana Ranaut, Anupam Kher","International, Suspense, Drama",Abhinay Deo, 16+ Young Adults,,,Excel Entertainment,,5.1,134.0
0JKR7SIH6JLQKCE9XE9A3PPZ4H,,,Murder 3,"Randeep Hooda, Aditi Rao Hydari, Sara Loren","Suspense, International",Vishesh Bhatt, 13+ Teens,,,,,4.9,123.0
0KIWBSRELMD4W1T2WJ8PIB43UP,,,1920 Evil Returns,"Vicky Ahuja, Tia Bajpai, Irma Jamhammar","Horror, International",Bhushan Patel, 13+ Teens,,,,,,
0JGIOELDZ4MUD06CCVJCWRAC1Q,,,The Shallows,Blake Lively,Suspense,Jaume Collet-Serra, 13+ Teens,,,Columbia Pictures,,6.3,86.0
0RE3OKJMEAY9ZKXFB1ZM4N0775,,,Bats,"Lou Diamond Phillips, Dina Meyer, Bob Gunton","Suspense, Horror",Louis Morneau, 13+ Teens,,,Destination Films,,3.7,91.0
0N8W8YNEKQ376WBPQ5ONU38N8Y,,,Bangistan,"Riteish Deshmukh, Jacqueline Fernandez, Pulkit Samrat","International, Comedy",Karan Anshuman, 13+ Teens,,,Excel Entertainment,,4.6,133.0
0PUOBDSZ9PJRWSSVQPBHYFFW9B,,,Krazzy 4,"Juhi Chawla, Irrfan Khan, Arshad Warsi","International, Comedy",Jaideep Sen, 13+ Teens,,,,,4.2,109.0
0KIUU97YRVBOXSBJL3R2LO368E,,,Mujhse Fraaandship Karoge,"Saqib Saleem, Saba Azad, Nishant Dahiya","International, Romance",Nupur Asthana, 13+ Teens,,,Yash Raj Films Pvt. Ltd.,,6.9,104.0
0HX4ZJ73JRAEWPVUE5ZA7ALIIX,,,The Dark Knight Rises,"Christian Bale, Michael Caine, Gary Oldman","Action, Drama, Science Fiction",Christopher Nolan, 13+ Teens,,,wb,,,
0QSTXR0EXWWYI4D3UGMLFM4A0Q,,,The Dark Knight,"Christian Bale, Michael Caine, Heath Ledger","Action, Adventure, Science Fiction",Christopher Nolan, 13+ Teens,,,wb,,,
0IMP84P6HAY8RXBMD03K0S984H,,,Superman Returns,"Brandon Routh, Kate Bosworth, James Marsden",Action,Bryan Singer, 13+ Teens,,,Warner Bros.Warner Home Video,,,
0KADAK9NHK8SJRWUTYJCFTHT7F,,,Green Lantern,"Ryan Reynolds, Blake Lively, Peter Sarsgaard",Action,Martin Campbell, 13+ Teens,,,Warner Bros.,,,
0MJBRQ95DKKF19QQLDC9GB7A5X,,,Batman v Superman,"Ben Affleck, Henry Cavill, Amy Adams",Action,Zack Snyder, 13+ Teens,,,Warner Bros.,,6.5,151.0
0P9EP6QWO8S60WBB7030KAV4Z7,,,Batman Begins,"Christian Bale, Michael Caine, Liam Neeson",Action,Christopher Nolan, 13+ Teens,,,wb,,,
0U45QFTZ7ZNJ2OPYVO2TYODMGL,,,Saban's Power Rangers,Dacre Montgomery,"Action, Science Fiction",Dean Israelite, 13+ Teens,,,Lionsgate,,,
0LTSIM9J5S9TFCRQFPFGNLIMEY,,,Dunkirk,"Fionn Whitehead, Tom Glynn-Carney, Jack Lowden","Military and War, Drama, Action",Christopher Nolan, 13+ Teens,,,wb,,7.9,106.0
0HKAY9MJ7DUBHL4BA13F35TUDZ,,,Deepwater Horizon,"Mark Wahlberg, Kurt Russell, John Malkovich","Suspense, Action, Drama","Peter Berg, Brian Taylor", 13+ Teens,,,,,7.1,107.0
0P9CYQYSGYMDRRL5WLUZOJZXHY,,,Transformers,"Shia LaBeouf, Josh Duhamel, John Turturro","Science Fiction, Action",Michael Bay, 13+ Teens,,,,,6.3,154.0
0PUO88AENW3KD2HQYL2Q7VEHDP,,,Top Gun,"Tom Cruise, Kelly McGillis, Val Kilmer","Action, Drama",Tony Scott, 7+ Older Kids,,,,,6.9,109.0
0FJUYNNNKKL2R6VP77V1IG96XJ,,,Men in Black II,"Tommy Lee Jones, Will Smith, Lara Flynn Boyle","Science Fiction, Comedy, Action",Barry Sonnenfeld, 13+ Teens,,,"Amblin Entertainment, Columbia Pictures",,,
0IE5R4PBJN2GC02RZPBKTAUQJ0,,,Inferno,"Tom Hanks, Felicity Jones, Irrfan Khan","Suspense, Drama",Ron Howard, 13+ Teens,,,Columbia Pictures,,,
0LGYHM7TLDXEHOLET96YLGJTU8,,,Days of Thunder,"Tom Cruise, Robert Duvall, Nicole Kidman","Drama, Action, Sports",Tony Scott, 13+ Teens,,,,,5.9,107.0
0RMM0O97BBX65SZ97WMMOJ6L2L,,,War of the Worlds (2005),"Tom Cruise, Dakota Fanning, Miranda Otto","Action, Science Fiction",Steven Spielberg, 13+ Teens,,,,,6.5,116.0
0G9GSSXHF3LZ16IN41T3M54404,,,Pataakha,"Sanya Malhotra, Radhika Madan, Sunil Grover",Drama,Vishal Bhardwaj, 13+ Teens,,,,,7.4,131.0
0FO3A030CKWQ37ODHTQSTYCY9N,,,Gippi,"Shaurye Chakravarty, Divya Dutta, Mrinal Chawla","International, Young Adult Audience",Sonam Nair, 13+ Teens,,,,,5.6,93.0
0R5KDM0PE39TYAB7C0BMKHNF97,,,Ajab Gazabb Love,"Jackky Bhagnani, Nidhi Subbaiah, Darshan Jariwala","Comedy, International",Sanjay Gadhvi, 13+ Teens,,,,,4.2,114.0
0J3PJXJ7DUIS2JHQALG2NMG415,,,Tum Bin II,"Neha Sharma, Aditya Seal, Aashim Gulati","Romance, Drama, International",Anubhav Sinha, 13+ Teens,,,,,4.8,140.0
0OSB4X58AB4ZSFKIZ70QM2KUDG,,,Neal n Nikki,"Uday Chopra, Tanisha Mukherjee, Richa Pallod","International, Comedy",Arjun Sablok, 13+ Teens,,,,,3.3,101.0
0TVMQM434R90XS2XY94XGLPMH7,,,Raja The Great,"Ravi Teja, Mehreen Pirzada, Vivan Bhatena","Comedy, International",Anil Ravipudi, 13+ Teens,,,,,,
0JTC6Z3S8789FTGPUWLJQICAXC,,,Goodachari,"Adivi Sesh, Sobhita Dhulipala, Madhu Shalini","Suspense, International",Sashi Kiran Tikka, 13+ Teens,,,,,,
0TVMAAC5NIWKFD1V4CD981DN9X,,,Mister,,"Romance, International",, 13+ Teens,,,,,3.9,156.0
0KRDZIYHAFUO1H1DHCFVW26C4T,,,Aaha Kalyanam (Telugu Dubbed),"Nani, Vaani Kapoor","International, Comedy",Gokul Krishna, 13+ Teens,,,,,5.9,141.0
0J812PMPLSGJ6PEKG2XL51PTHI,,,NOTA,"Vijay Devarakonda, Mehreen Peerzad","International, Drama",Anand Shankar, 13+ Teens,,,,,,
0FSDL9A3X8ISVBVF3I1JEQS7JU,,,Daruvu,,"International, Comedy",, 13+ Teens,,,,,5.0,161.0
0GHYFRTCLS3P8DEL31BBT4BPTI,,,Nene Raju Nene Mantri,"Rana Daggubati, Kajal Aggarwal, Catherine Tresa","International, Drama",Teja, 13+ Teens,,,,,5.8,150.0
0K62XYRRT50P4HXQMU3I387REK,,,Winner,,"Drama, International",, 13+ Teens,,,,,4.7,149.0
0R9UZZB03DS9GN9TWTJ5DNMRVG,,,MCA (Middle Class Abbayi),"Nani, Sai Pallavi, Bhumika Chawla","Drama, International",Venu Sriram, 13+ Teens,,,,,5.7,138.0
0FSE0YGUV25FUZKDENTZ6YOWLZ,,,Jawaan,"Sai Dharam Tej, Mehreen Pirzada, Prasanna","International, Drama",B. V. S. Ravi, 13+ Teens,,,,,,
0TRD3444QEYH6HNRIC7DGY7MAD,,,Rojulu Maaraie,"Tejaswi Madivada, Kruthika Jayakumar, Chethan Maddineni","International, Comedy",Murali, 13+ Teens,,,,,,
0PYYLMUMO7BBTUA8OQSQD8RGX3,,,NH-4,"Siddarth, Ashritha Shetty","Romance, International",Manimaran, 13+ Teens,,,,,,
0HSUKEBYG10JD8KTU6QY1AC24V,,,Raju Gari Gadhi 2,"Nagarjuna Akkineni, Samantha, Seerat Kapoor","International, Horror",Ohmkar, 13+ Teens,,,,,5.2,122.0
0P54DTTVKLRVQ85OKZBJMAHTSR,,,Three,"Dhanush, Sruthi Hassan","International, Romance",Aishwarya R. Dhanush, 13+ Teens,,,,,7.2,147.0
0OWLG2GSNO62YKHV9T6EVA3XBY,,,Brindavanam,,"Romance, International",, 13+ Teens,,,,,7.5,169.0
0OJT6IJ2USQSEEP4CCYYH41AZD,,,Sega,"Nani, Nitya Menon, Bindhu Madhavi","International, Drama",Anjana Ali Khan, 13+ Teens,,,,,4.7,109.0
0GM75RGSP62BPY7N0XYOKYNVI7,,,Karthikeya,"Swathi Reddy, Nikhil Siddharth","International, Suspense, Drama",Chandoo Mondeti, 13+ Teens,,,,,7.4,114.0
0HBRX0D5TUXQY1VM131YSK11IN,,,Anacondas,"Morris Chestnut, Nicholas Gonzalez, Salli Richardson-Whitfield","Action, Suspense",Dwight H. Little, 13+ Teens,,,"Columbia Pictures Industries, Inc.",,4.6,96.0
0QFZHA7RZHHQPFLRN8YUJXJHI3,,,Congo,"Dylan Walsh, Laura Linney, Ernie Hudson","Drama, Action",Frank Marshall, 13+ Teens,,,,,5.1,108.0
0RZFPTGJX5WLYYJGXN6JDG11LJ,,,"10,000 B.C.","Steven Strait, Camilla Belle, Cliff Curtis","Drama, Historical, Adventure",Roland Emmerich, 13+ Teens,,,Warner Bros.,,,
0N8XO2GTKI4CHYZTK4DURZF31Z,,,In the Land of Gorillas,,Documentary,Lydia Tassier, 13+ Teens,,,MagellanTV; Magellan TV,,,
0FSCQME8U2S5UV2Z13COK6LA21,,,A.I. Artificial Intelligence,"Haley Joel Osment, Jude Law, Frances O'Conner","Science Fiction, Drama",Steven Spielberg, 13+ Teens,,,,,7.1,145.0
0MNL08CIJ94G2XIG1VIPRNBSFP,,,The Spiderwick Chronicles,"Freddie Highmore, Sarah Bolger, Mary-Louise Parker",Kids,Mark Waters, 13+ Teens,,,,,6.6,95.0
0P53ZAO8OVV8UGJTC3C47V9Z9G,,,Ramesses II,,Documentary,"Valérie Girié, Guillaume Hecht", All Ages Kids,,,XiveTV; Xive TV,,,
0RV69GMM9482X67A3UV100F2E0,,,Pacific Rim,"Charlie Hunnam, Marsha Warfield, Rinko Kikuchi","Action, Science Fiction",Guillermo del Toro, 13+ Teens,,,Warner Bros.,,,
0S3OW6A0X69KWR1ZUFLCK4XECS,,,Men in Black,"Tommy Lee Jones, Will Smith, Linda Fiorentino","Comedy, Science Fiction, Action",Barry Sonnenfeld, 13+ Teens,,,Columbia Pictures,,,
0OJTWCOXR7J59786JOI8HGJF4I,,,Superman,"Marlon Brando, Gene Hackman, Christopher Reeve","Action, Fantasy, Adventure",Richard Lester, 7+ Older Kids,,,wb,,,
0QX2Y9ZAUA8QFXMVZ0SEB3QO3E,,,Superman III,"Christopher Reeve, Richard Pryor, Jackie Cooper","Adventure, Fantasy, Action",Richard Lester, 7+ Older Kids,,,wb,,,
0RE4LPUCKSGIWV7YNAYQE6M2AD,,,The Dark Tower,"Idris Elba, Matthew McConaughey, Tom Taylor","Western, Action, Fantasy",Nikolaj Arcel, 13+ Teens,,,Sony Pictures Entertainment (SPE),,5.7,94.0
0IIFGP74ICDIM35BDUWQN4FSLR,,,Jumper,"Hayden Christensen, Jamie Bell, Rachel Bilson","Action, Science Fiction",Doug Liman, 16+ Young Adults,,,,,,
0PM7EIKCJCN6OML3QQ8SY4VJGI,,,Sherlock Holmes,"Robert Downey Jr., Jude Law, Noomi Rapace","Drama, Action, Adventure",Guy Ritchie, 13+ Teens,,,Warner Bros.,,,
0QK9QDNN5G476DZ2DZM9ASL7TC,,,Einstein and the Theory of Relativity,,Documentary,Quentin Lazzarotto, 13+ Teens,,,XiveTV; Xive TV,,,
0MF3ORCP14J9F0O5TU34GPLXS7,,,Moon Shots,,Documentary,Martin Hans Schmitt, 13+ Teens,,,XiveTV; Xive TV,,,
0IV864SLW83K2KCA2LWGBULRC6,,,Pari,"Anushka Sharma Kohli, Parambrata Chatterjee, Rajat Kapoor","Horror, International",Prosit Roy, 18+ Adults,,,KYTA PRODUCTIONS,,,
0RID7M42ERN8XFVIJ1TT4ZSL6E,,,Begum Jaan,"Vidya Balan, Ila Arun, Naseeruddin Shah","International, Drama",Srijit Mukherji, 18+ Adults,,,Vishesh Films,,5.5,127.0
0KIW5DXZ4VD65CGP6NWFP03FWU,,,The Girl Next Door,"Emile Hirsch, Elisha Cuthbert, Timothy Olyphant","Romance, Comedy",Luke Greenfield, 18+ Adults,,,,,,
0QBQXNPD6ZBFO5S2YY1POI48L8,,,Cruel Intentions,"Sarah Michelle Gellar, Ryan Phillippe, Reese Witherspoon","Drama, Romance",Roger Kumble, 18+ Adults,,,"Cruel Productions, LLC",,6.8,97.0
0S7YQQHDBNGE69FCMVB8ZSQDMG,,,1921,"Zarine Khan, Karan Kundrra, Manjit Singh","Horror, International",Vikram Bhatt, 18+ Adults,,,,,4.3,141.0
0NPYAY22N1MGXMWQJOC40C44DW,,,Striptease,"Demi Moore, Armand Assante, Ving Rhames",Comedy,Andrew Bergman, 18+ Adults,,,Warner Bros.,,4.4,115.0
0OWKWQAYITS5U2NS92C5CYDDRE,,,Wild Things 2,"Susan Ward, Isaiah Washington, Joe Michael Burke","Drama, Suspense",Jack Perez, 18+ Adults,,,Destination Films; Mandate Pictures; TriStar Pictures,,4.6,94.0
0FO46ZWBNFS3ZPTBAZTPIJXSH3,,,Bad Teacher,"Cameron Diaz, Justin Timberlake, Lucy Punch",Comedy,Jake Kasdan, 18+ Adults,,,"Columbia Pictures, Mosaic Media Group",,5.6,91.0
0FWM6LXBGLJP0XQDQYPI9H4PMH,,,Dilwale Dulhania Le Jayenge,"Shah Rukh Khan, Kajol, Amrish Puri","International, Romance",Aditya Chopra, 7+ Older Kids,,,Yash Raj Films Pvt. Ltd.,,8.2,189.0
0SOZ2LO8YE98O94W126GFSH7UP,,,Crook,"Emraan Hashmi, Smiley Suri, Neha Sharma","International, Drama",Mohit Suri, 13+ Teens,,,,,5.1,119.0
0RQVG8DPD15IWN81TCY5D3PK58,,,Kabul Express,"John Abraham, Arshad Warsi, Salman Shahid",International,Kabir Khan, 16+ Young Adults,,,,,6.9,104.0
0G9EMOITIH5LUEBZSR8WXNP5IM,,,Mr.X,"Emraan Hashmi, Amyra Dastur, Tanmay Bhat","International, Suspense, Science Fiction",Vikram Bhatt, 13+ Teens,,,,,3.8,124.0
0ND6D4H43QJ3OTVIKK2XTMCBE6,,,Anthony Kaun Hai,"Sanjay Dutt, Arshad Warsi, Minissha Lamba","International, Drama",Raj Kaushal, 13+ Teens,,,,,5.5,121.0
0FSCQB8ORLXN6FWB8KEQBI9OMD,,,Tum Mile,"Emraan Hashmi, Soha Ali Khan, VJ Mantra","International, Drama",Kunal Deshmukh, 13+ Teens,,,,,5.0,128.0
0K63N1PZLWDBKH6RI6IEE8FHC9,,,Qaidi Band,"Aadar Jain, Anya Singh, Sachin Pilgaonkar","Drama, International",Habib Faisal, 13+ Teens,,,,,,
0ST8MSXBVS7WD0RH29JMACE10W,,,Jannat 2,"Emraan Hashmi, Esha Gupta, Manish Chaudhary","International, Romance, Drama",Kunal Deshmukh, 13+ Teens,,,,,6.1,134.0
0OB9BN3ZX1GFN30ICJA6CJ3C8V,,,Lafangey Parindey,"Deepika Padukone, Neil Nitin Mukesh, Piyush Mishra","Drama, Romance, International",Pradeep Sarkar, 13+ Teens,,,Yash Raj Films Pvt. Ltd.,,5.3,126.0
0SKPR7V8JESR5KUT61DZ7L6E13,,,Teraa Surroor,"Himesh Reshammiya, Farah Karimaee, Naseeruddin Shah","Romance, International, Drama",Shawn Arranha, 13+ Teens,,,"H.R. Musik, T-Series",,2.8,99.0
0QG0J21W0LK9EK3QKIZD9YJTPL,,,The Roommate,"Leighton Meester, Minka Kelly, Cam Gigandet",Suspense,Christian E. Christiansen, 13+ Teens,,,"Screen Gems, Vertigo Entertainment",,,
0K1TNQWEWETX55ALOII5G5CI9J,,,The Forest,Natalie Dormer,Horror,Jason Zada, 13+ Teens,,,Gramercy pictures,,4.8,92.0
0LGYYB4PIFGBRP3MY2VQHUKUWF,,,Galapagos,,Documentary,Thomas Lucas, 7+ Older Kids,,,LFBG Galapagos,,,
0N8WA26NGNCC6ZNI8XU4PDKS1V,,,Cloverfield,"Lizzy Caplan, Jessica Lucas, T.J. Miller","Action, Suspense, Horror, Science Fiction",Matt Reeves, 13+ Teens,,,,,7.0,84.0
0G0WCD4U1NXTKBMW312NRVWQAD,,,Diving with Sharks,"Andy Casagrande, Emma Casagrande","Documentary, Action",Andy Casagrande, 7+ Older Kids,,,XiveTV; Xive TV,,,
0SKRF0JUGT8IHW1154WEZIZBSG,,,Flatliners,"Ellen Page, Diego Luna, Nina Dobrev","Science Fiction, Horror, Drama",Niels Arden Oplev, 13+ Teens,,,Columbia Pictures,,,
0IQX4Z8SDBB8Y5SFXSSJOSPTY0,,,Red Eye,"Rachel McAdams, Cillian Murphy, Brian Cox","Drama, Suspense",Wes Craven, 13+ Teens,,,,,6.5,85.0
0T6175N5GPG0E5QENCHACR92XX,,,Vertical Limit,"Chris O'Donnell, Bill Paxton, Robin Tunney",Action,Martin Campbell, 13+ Teens,,,Phoenix Pictures,,5.9,124.0
0Q377CFXRVW1SYKSA7DFAC18D2,,,The Lovely Bones,"Mark Wahlberg, Rachel Weisz, Susan Sarandon",Drama,Peter Jackson, 13+ Teens,,,,,6.7,135.0
0QFZI24JJDSG2PY7AFMFC5Q8PD,,,Carriers,"Lou Taylor Pucci, Chris Pine, Piper Perabo","Horror, Science Fiction","Alex Pastor, David Pastor", 13+ Teens,,,,,6.0,84.0
